land	∧	短縮よみ	U+2227 LOGICAL AND
and	∧	短縮よみ	U+2227 LOGICAL AND
wedge	∧	短縮よみ	U+2227 LOGICAL AND
logicaland	∧	短縮よみ	U+2227 LOGICAL AND
conjunction	∧	短縮よみ	U+2227 LOGICAL AND
lor	∨	短縮よみ	U+2228 LOGICAL OR
or	∨	短縮よみ	U+2228 LOGICAL OR
vee	∨	短縮よみ	U+2228 LOGICAL OR
logicalor	∨	短縮よみ	U+2228 LOGICAL OR
disjunction	∨	短縮よみ	U+2228 LOGICAL OR
bigwedge	⋀	短縮よみ	U+22C0 N-ARY LOGICAL AND
andbig	⋀	短縮よみ	U+22C0 N-ARY LOGICAL AND
bigvee	⋁	短縮よみ	U+22C1 N-ARY LOGICAL OR
orbig	⋁	短縮よみ	U+22C1 N-ARY LOGICAL OR
neg	¬	短縮よみ	U+00AC NOT SIGN
not	¬	短縮よみ	U+00AC NOT SIGN
lnot	¬	短縮よみ	U+00AC NOT SIGN
notop	¬	短縮よみ	U+00AC NOT SIGN
forall	∀	短縮よみ	U+2200 FOR ALL
all	∀	短縮よみ	U+2200 FOR ALL
AA	∀	短縮よみ	U+2200 FOR ALL
exists	∃	短縮よみ	U+2203 THERE EXISTS
exist	∃	短縮よみ	U+2203 THERE EXISTS
EE	∃	短縮よみ	U+2203 THERE EXISTS
nexists	∄	短縮よみ	U+2204 THERE DOES NOT EXIST
notexists	∄	短縮よみ	U+2204 THERE DOES NOT EXIST
implies	⇒	短縮よみ	U+21D2 RIGHTWARDS DOUBLE ARROW
Rightarrow	⇒	短縮よみ	U+21D2 RIGHTWARDS DOUBLE ARROW
rArr	⇒	短縮よみ	U+21D2 RIGHTWARDS DOUBLE ARROW
arrowrdouble	⇒	短縮よみ	U+21D2 RIGHTWARDS DOUBLE ARROW
impliedby	⇐	短縮よみ	U+21D0 LEFTWARDS DOUBLE ARROW
Leftarrow	⇐	短縮よみ	U+21D0 LEFTWARDS DOUBLE ARROW
lArr	⇐	短縮よみ	U+21D0 LEFTWARDS DOUBLE ARROW
arrowldouble	⇐	短縮よみ	U+21D0 LEFTWARDS DOUBLE ARROW
iff	⇔	短縮よみ	U+21D4 LEFT RIGHT DOUBLE ARROW
Leftrightarrow	⇔	短縮よみ	U+21D4 LEFT RIGHT DOUBLE ARROW
hArr	⇔	短縮よみ	U+21D4 LEFT RIGHT DOUBLE ARROW
equivarrow	⇔	短縮よみ	U+21D4 LEFT RIGHT DOUBLE ARROW
to	→	短縮よみ	U+2192 RIGHTWARDS ARROW
rightarrow	→	短縮よみ	U+2192 RIGHTWARDS ARROW
rarr	→	短縮よみ	U+2192 RIGHTWARDS ARROW
arrowr	→	短縮よみ	U+2192 RIGHTWARDS ARROW
from	←	短縮よみ	U+2190 LEFTWARDS ARROW
leftarrow	←	短縮よみ	U+2190 LEFTWARDS ARROW
larr	←	短縮よみ	U+2190 LEFTWARDS ARROW
arrowl	←	短縮よみ	U+2190 LEFTWARDS ARROW
leftrightarrow	↔	短縮よみ	U+2194 LEFT RIGHT ARROW
harr	↔	短縮よみ	U+2194 LEFT RIGHT ARROW
arrowlr	↔	短縮よみ	U+2194 LEFT RIGHT ARROW
mapsto	↦	短縮よみ	U+21A6 RIGHTWARDS ARROW FROM BAR
mapstoarrow	↦	短縮よみ	U+21A6 RIGHTWARDS ARROW FROM BAR
arrowrbar	↦	短縮よみ	U+21A6 RIGHTWARDS ARROW FROM BAR
mapsfrom	↤	短縮よみ	U+21A4 LEFTWARDS ARROW FROM BAR
arrowlbar	↤	短縮よみ	U+21A4 LEFTWARDS ARROW FROM BAR
top	⊤	短縮よみ	U+22A4 DOWN TACK
TT	⊤	短縮よみ	U+22A4 DOWN TACK
true	⊤	短縮よみ	U+22A4 DOWN TACK
bot	⊥	短縮よみ	U+22A5 UP TACK
bottom	⊥	短縮よみ	U+22A5 UP TACK
false	⊥	短縮よみ	U+22A5 UP TACK
vdash	⊢	短縮よみ	U+22A2 RIGHT TACK
turnstile	⊢	短縮よみ	U+22A2 RIGHT TACK
proves	⊢	短縮よみ	U+22A2 RIGHT TACK
dashv	⊣	短縮よみ	U+22A3 LEFT TACK
models	⊨	短縮よみ	U+22A8 TRUE
entails	⊨	短縮よみ	U+22A8 TRUE
nvdash	⊬	短縮よみ	U+22AC DOES NOT PROVE
notmodels	⊭	短縮よみ	U+22AD NOT TRUE
therefore	∴	短縮よみ	U+2234 THEREFORE
because	∵	短縮よみ	U+2235 BECAUSE
eq	=	短縮よみ	U+003D EQUALS SIGN
equals	=	短縮よみ	U+003D EQUALS SIGN
neq	≠	短縮よみ	U+2260 NOT EQUAL TO
ne	≠	短縮よみ	U+2260 NOT EQUAL TO
noteq	≠	短縮よみ	U+2260 NOT EQUAL TO
eqnot	≠	短縮よみ	U+2260 NOT EQUAL TO
lt	<	短縮よみ	U+003C LESS-THAN SIGN
gt	>	短縮よみ	U+003E GREATER-THAN SIGN
le	≤	短縮よみ	U+2264 LESS-THAN OR EQUAL TO
leq	≤	短縮よみ	U+2264 LESS-THAN OR EQUAL TO
lesseq	≤	短縮よみ	U+2264 LESS-THAN OR EQUAL TO
lte	≤	短縮よみ	U+2264 LESS-THAN OR EQUAL TO
ge	≥	短縮よみ	U+2265 GREATER-THAN OR EQUAL TO
geq	≥	短縮よみ	U+2265 GREATER-THAN OR EQUAL TO
greateq	≥	短縮よみ	U+2265 GREATER-THAN OR EQUAL TO
gte	≥	短縮よみ	U+2265 GREATER-THAN OR EQUAL TO
ll	≪	短縮よみ	U+226A MUCH LESS-THAN
muchless	≪	短縮よみ	U+226A MUCH LESS-THAN
mlt	≪	短縮よみ	U+226A MUCH LESS-THAN
gg	≫	短縮よみ	U+226B MUCH GREATER-THAN
muchgreater	≫	短縮よみ	U+226B MUCH GREATER-THAN
mgt	≫	短縮よみ	U+226B MUCH GREATER-THAN
prec	≺	短縮よみ	U+227A PRECEDES
succ	≻	短縮よみ	U+227B SUCCEEDS
preceq	≼	短縮よみ	U+227C PRECEDES OR EQUAL TO
succeq	≽	短縮よみ	U+227D SUCCEEDS OR EQUAL TO
sim	∼	短縮よみ	U+223C TILDE OPERATOR
tildeop	∼	短縮よみ	U+223C TILDE OPERATOR
nsim	≁	短縮よみ	U+2241 NOT TILDE
simeq	≃	短縮よみ	U+2243 ASYMPTOTICALLY EQUAL TO
cong	≅	短縮よみ	U+2245 APPROXIMATELY EQUAL TO
ncong	≇	短縮よみ	U+2247 NEITHER APPROXIMATELY NOR ACTUALLY EQUAL TO
approx	≈	短縮よみ	U+2248 ALMOST EQUAL TO
almosteq	≈	短縮よみ	U+2248 ALMOST EQUAL TO
napprox	≉	短縮よみ	U+2249 NOT ALMOST EQUAL TO
approxeq	≊	短縮よみ	U+224A ALMOST EQUAL OR EQUAL TO
equiv	≡	短縮よみ	U+2261 IDENTICAL TO
identical	≡	短縮よみ	U+2261 IDENTICAL TO
nequiv	≢	短縮よみ	U+2262 NOT IDENTICAL TO
prop	∝	短縮よみ	U+221D PROPORTIONAL TO
propto	∝	短縮よみ	U+221D PROPORTIONAL TO
proportional	∝	短縮よみ	U+221D PROPORTIONAL TO
parallel	∥	短縮よみ	U+2225 PARALLEL TO
nparallel	∦	短縮よみ	U+2226 NOT PARALLEL TO
notparallel	∦	短縮よみ	U+2226 NOT PARALLEL TO
perp	⟂	短縮よみ	U+27C2 PERPENDICULAR
perpendicular	⟂	短縮よみ	U+27C2 PERPENDICULAR
mid	∣	短縮よみ	U+2223 DIVIDES
divides	∣	短縮よみ	U+2223 DIVIDES
nmid	∤	短縮よみ	U+2224 DOES NOT DIVIDE
notdivides	∤	短縮よみ	U+2224 DOES NOT DIVIDE
asymp	≍	短縮よみ	U+224D EQUIVALENT TO
doteq	≐	短縮よみ	U+2250 APPROACHES THE LIMIT
coloneq	≔	短縮よみ	U+2254 COLON EQUALS
assign	≔	短縮よみ	U+2254 COLON EQUALS
eqcolon	≕	短縮よみ	U+2255 EQUALS COLON
defeq	≝	短縮よみ	U+225D EQUAL TO BY DEFINITION
measeq	≟	短縮よみ	U+225F QUESTIONED EQUAL TO
questeq	≟	短縮よみ	U+225F QUESTIONED EQUAL TO
in	∈	短縮よみ	U+2208 ELEMENT OF
isin	∈	短縮よみ	U+2208 ELEMENT OF
elementof	∈	短縮よみ	U+2208 ELEMENT OF
notin	∉	短縮よみ	U+2209 NOT AN ELEMENT OF
nin	∉	短縮よみ	U+2209 NOT AN ELEMENT OF
notmember	∉	短縮よみ	U+2209 NOT AN ELEMENT OF
ni	∋	短縮よみ	U+220B CONTAINS AS MEMBER
owns	∋	短縮よみ	U+220B CONTAINS AS MEMBER
containsas	∋	短縮よみ	U+220B CONTAINS AS MEMBER
notni	∌	短縮よみ	U+220C DOES NOT CONTAIN AS MEMBER
sub	⊂	短縮よみ	U+2282 SUBSET OF
subset	⊂	短縮よみ	U+2282 SUBSET OF
sup	⊃	短縮よみ	U+2283 SUPERSET OF
supset	⊃	短縮よみ	U+2283 SUPERSET OF
sube	⊆	短縮よみ	U+2286 SUBSET OF OR EQUAL TO
subseteq	⊆	短縮よみ	U+2286 SUBSET OF OR EQUAL TO
supe	⊇	短縮よみ	U+2287 SUPERSET OF OR EQUAL TO
supseteq	⊇	短縮よみ	U+2287 SUPERSET OF OR EQUAL TO
nsubseteq	⊈	短縮よみ	U+2288 NEITHER A SUBSET OF NOR EQUAL TO
nsupseteq	⊉	短縮よみ	U+2289 NEITHER A SUPERSET OF NOR EQUAL TO
subsetneq	⊊	短縮よみ	U+228A SUBSET OF WITH NOT EQUAL TO
supsetneq	⊋	短縮よみ	U+228B SUPERSET OF WITH NOT EQUAL TO
sqsubset	⊏	短縮よみ	U+228F SQUARE IMAGE OF
sqsupset	⊐	短縮よみ	U+2290 SQUARE ORIGINAL OF
sqsubseteq	⊑	短縮よみ	U+2291 SQUARE IMAGE OF OR EQUAL TO
sqsupseteq	⊒	短縮よみ	U+2292 SQUARE ORIGINAL OF OR EQUAL TO
cup	∪	短縮よみ	U+222A UNION
union	∪	短縮よみ	U+222A UNION
cap	∩	短縮よみ	U+2229 INTERSECTION
inter	∩	短縮よみ	U+2229 INTERSECTION
intersection	∩	短縮よみ	U+2229 INTERSECTION
