oslash	⊘	短縮よみ
odot	⊙	短縮よみ
bigoplus	⨁	短縮よみ
bigotimes	⨂	短縮よみ
bigodot	⨀	短縮よみ
sum	∑	短縮よみ
Sigmaop	∑	短縮よみ
prod	∏	短縮よみ
Piop	∏	短縮よみ
coprod	∐	短縮よみ
sqrt	√	短縮よみ
root	√	短縮よみ
cuberoot	∛	短縮よみ
cbrt	∛	短縮よみ
fourthroot	∜	短縮よみ
integral	∫	短縮よみ
int	∫	短縮よみ
iint	∬	短縮よみ
doubleint	∬	短縮よみ
iiint	∭	短縮よみ
tripleint	∭	短縮よみ
oint	∮	短縮よみ
contourint	∮	短縮よみ
oiint	∯	短縮よみ
surfaceint	∯	短縮よみ
oiiint	∰	短縮よみ
volumeint	∰	短縮よみ
partial	∂	短縮よみ
del	∂	短縮よみ
nabla	∇	短縮よみ
grad	∇	短縮よみ
laplace	∆	短縮よみ
infty	∞	短縮よみ
infinity	∞	短縮よみ
oo	∞	短縮よみ
producttensor	⨂	短縮よみ
tensorprod	⊗	短縮よみ
uparrow	↑	短縮よみ
uarr	↑	短縮よみ
arrowu	↑	短縮よみ
downarrow	↓	短縮よみ
darr	↓	短縮よみ
arrowd	↓	短縮よみ
updownarrow	↕	短縮よみ
varrow	↕	短縮よみ
Uparrow	⇑	短縮よみ
uArr	⇑	短縮よみ
arrowudouble	⇑	短縮よみ
Downarrow	⇓	短縮よみ
dArr	⇓	短縮よみ
arrowddouble	⇓	短縮よみ
Updownarrow	⇕	短縮よみ
vArr	⇕	短縮よみ
longrightarrow	⟶	短縮よみ
longto	⟶	短縮よみ
arrowrlong	⟶	短縮よみ
longleftarrow	⟵	短縮よみ
arrowllong	⟵	短縮よみ
longleftrightarrow	⟷	短縮よみ
arrowlrlong	⟷	短縮よみ
Longrightarrow	⟹	短縮よみ
arrowrdoublelong	⟹	短縮よみ
Longleftarrow	⟸	短縮よみ
arrowldoublelong	⟸	短縮よみ
Longleftrightarrow	⟺	短縮よみ
arrowlrdoublelong	⟺	短縮よみ
hookrightarrow	↪	短縮よみ
hookleftarrow	↩	短縮よみ
rightarrowtail	↣	短縮よみ
leftarrowtail	↢	短縮よみ
twoheadrightarrow	↠	短縮よみ
twoheadleftarrow	↞	短縮よみ
rightharpoonup	⇀	短縮よみ
rightharpoondown	⇁	短縮よみ
leftharpoonup	↼	短縮よみ
leftharpoondown	↽	短縮よみ
rightleftharpoons	⇌	短縮よみ
leftrightharpoons	⇋	短縮よみ
nearrow	↗	短縮よみ
searrow	↘	短縮よみ
swarrow	↙	短縮よみ
nwarrow	↖	短縮よみ
leadsto	⇝	短縮よみ
rightsquigarrow	⇝	短縮よみ
leftsquigarrow	⇜	短縮よみ
nrightarrow	↛	短縮よみ
nleftarrow	↚	短縮よみ
nleftrightarrow	↮	短縮よみ
langle	⟨	短縮よみ
rangle	⟩	短縮よみ
lceil	⌈	短縮よみ
rceil	⌉	短縮よみ
lfloor	⌊	短縮よみ
rfloor	⌋	短縮よみ
ulcorner	⌜	短縮よみ
urcorner	⌝	短縮よみ
llcorner	⌞	短縮よみ
lrcorner	⌟	短縮よみ
lbrack	[	短縮よみ
rbrack	]	短縮よみ
lbrace	{	短縮よみ
rbrace	}	短縮よみ
lparen	(	短縮よみ
rparen	)	短縮よみ
vert	|	短縮よみ
bar	|	短縮よみ
Vert	‖	短縮よみ
norm	‖	短縮よみ
lvert	|	短縮よみ
rvert	|	短縮よみ
lVert	‖	短縮よみ
rVert	‖	短縮よみ
ldots	…	短縮よみ
dots	…	短縮よみ
ellipsis	…	短縮よみ
cdots	⋯	短縮よみ
vdots	⋮	短縮よみ
ddots	⋱	短縮よみ
adots	⋰	短縮よみ
prime	′	短縮よみ
dprime	″	短縮よみ
doubleprime	″	短縮よみ
tprime	‴	短縮よみ
tripleprime	‴	短縮よみ
qprime	⁗	短縮よみ
degree	°	短縮よみ
deg	°	短縮よみ
angle	∠	短縮よみ
measuredangle	∡	短縮よみ
sphericalangle	∢	短縮よみ
rightangle	∟	短縮よみ
triangle	△	短縮よみ
triangleup	△	短縮よみ
triangledown	▽	短縮よみ
blacktriangle	▲	短縮よみ
blacktriangledown	▼	短縮よみ
diamond	⋄	短縮よみ
lozenge	◊	短縮よみ
square	□	短縮よみ
blacksquare	■	短縮よみ
frown	⌢	短縮よみ
smile	⌣	短縮よみ
checkmark	✓	短縮よみ
check	✓	短縮よみ
crossmark	✗	短縮よみ
maltese	✠	短縮よみ
